OrderID,OrderDate,Region,Category,SalesChannel,PaymentMode,Quantity,UnitPrice,DiscountPercent,CustomerAge,CustomerRating,TotalSales,OrderMonth,OrderWeekday,AgeGroup
102901,2025-08-08,West,Home & Kitchen,In-Store,Upi,10.0,62.65,20.0,29.0,3.0,501.2,2025-08,Friday,26-35
101422,2025-03-06,North,Beauty,Online,Upi,10.0,56.94,0.0,22.0,4.7,569.4,2025-03,Thursday,18-25
102731,2025-01-16,North,Clothing,Online,Debit Card,7.0,41.88,0.0,45.0,2.3,293.16,2025-01,Thursday,36-45
100603,2024-04-08,Central,Clothing,Online,Debit Card,3.0,40.18,20.0,32.0,1.9,96.43,2024-04,Monday,26-35
100562,2024-12-26,East,Sports,Online,Debit Card,9.0,67.04,0.0,51.0,3.4,603.36,2024-12,Thursday,46-55
102265,2024-03-10,West,Home & Kitchen,In-Store,Upi,3.0,146.29,15.0,50.0,4.9,373.04,2024-03,Sunday,46-55
101673,2025-07-08,Central,Books,Online,Credit Card,3.0,17.45,0.0,20.0,3.6,52.35,2025-07,Tuesday,18-25
102065,2025-01-07,West,Sports,Online,Cash,1.0,53.58,0.0,36.0,2.9,53.58,2025-01,Tuesday,36-45
100732,2025-11-04,North,Sports,In-Store,Debit Card,3.0,42.96,5.0,20.0,3.3,122.44,2025-11,Tuesday,18-25
100727,2024-03-05,North,Books,Online,Upi,6.0,14.74,0.0,61.0,3.3,88.44,2024-03,Tuesday,56-70
100770,2025-04-21,West,Electronics,Online,Cash,10.0,243.92,0.0,53.0,3.6,2439.2,2025-04,Monday,46-55
102202,2024-01-29,East,Home & Kitchen,Online,Cash,11.0,118.78,20.0,28.0,3.5,1045.26,2024-01,Monday,26-35
100561,2024-02-01,South,Clothing,Online,Net Banking,6.0,36.9,15.0,22.0,2.2,188.19,2024-02,Thursday,18-25
102162,2024-10-21,Central,Sports,Online,Net Banking,11.0,72.18,25.0,53.0,3.9,595.48,2024-10,Monday,46-55
100414,2024-01-14,North,Sports,Online,Net Banking,9.0,49.38,5.0,30.0,1.4,422.2,2024-01,Sunday,26-35
102817,2025-09-25,West,Clothing,In-Store,Cash,5.0,51.86,5.0,18.0,1.1,246.34,2025-09,Thursday,18-25
100640,2025-05-05,Central,Home & Kitchen,Online,Credit Card,11.0,70.37,0.0,22.0,4.3,774.07,2025-05,Monday,18-25
101900,2025-01-25,North,Electronics,Online,Net Banking,4.0,258.635,25.0,27.0,3.7,775.9,2025-01,Saturday,26-35
102082,2024-08-25,South,Sports,Online,Debit Card,8.0,59.84,20.0,49.0,3.0,382.98,2024-08,Sunday,46-55
102985,2025-04-18,South,Beauty,In-Store,Net Banking,10.0,31.98,25.0,41.0,1.6,239.85,2025-04,Friday,36-45
102424,2024-09-11,North,Clothing,Online,Net Banking,11.0,37.79,10.0,44.0,1.6,374.12,2024-09,Wednesday,36-45
100587,2024-03-13,South,Beauty,In-Store,Credit Card,11.0,19.99,0.0,20.0,3.2,219.89,2024-03,Wednesday,18-25
102248,2024-04-23,South,Beauty,Online,Debit Card,1.0,28.02,10.0,44.0,1.4,25.22,2024-04,Tuesday,36-45
102037,2024-01-30,East,Electronics,Online,Debit Card,3.0,258.635,15.0,46.0,1.6,659.52,2024-01,Tuesday,46-55
100180,2025-11-16,West,Beauty,Online,Net Banking,7.0,25.15,15.0,55.0,3.4,149.64,2025-11,Sunday,46-55
102827,2025-11-20,West,Clothing,In-Store,Upi,3.0,51.11,0.0,22.0,3.8,153.33,2025-11,Thursday,18-25
101617,2025-01-05,West,Clothing,In-Store,Upi,1.0,23.29,0.0,46.0,3.5,23.29,2025-01,Sunday,46-55
101455,2024-02-17,South,Electronics,Online,Debit Card,8.0,258.635,0.0,66.0,2.2,2069.08,2024-02,Saturday,56-70
102825,2025-09-07,East,Sports,In-Store,Credit Card,11.0,70.07,0.0,25.0,4.5,770.77,2025-09,Sunday,18-25
100959,2024-10-28,East,Beauty,In-Store,Cash,7.0,21.0,25.0,25.0,2.2,110.25,2024-10,Monday,18-25
100669,2024-04-06,East,Clothing,In-Store,Cash,4.0,65.12,5.0,31.0,4.4,247.46,2024-04,Saturday,26-35
100224,2025-06-11,East,Electronics,Online,Cash,3.0,241.5,10.0,56.0,3.4,652.05,2025-06,Wednesday,56-70
102802,2025-12-24,Central,Sports,Online,Net Banking,8.0,38.42,20.0,38.0,3.6,245.89,2025-12,Wednesday,36-45
101146,2025-01-23,West,Beauty,Online,Debit Card,5.0,26.96,0.0,18.0,4.0,134.8,2025-01,Thursday,18-25
102760,2024-04-07,Central,Clothing,Online,Upi,6.0,47.96,20.0,37.0,3.1,230.21,2024-04,Sunday,36-45
102328,2024-01-20,Central,Electronics,In-Store,Credit Card,2.0,188.34,5.0,44.0,1.1,357.85,2024-01,Saturday,36-45
100568,2025-04-14,South,Home & Kitchen,Online,Credit Card,11.0,14.03,15.0,44.0,3.7,131.18,2025-04,Monday,36-45
100362,2024-06-12,Central,Beauty,Online,Cash,6.0,26.94,10.0,47.0,4.3,145.48,2024-06,Wednesday,46-55
102605,2025-07-06,North,Books,Online,Cash,8.0,25.73,5.0,37.0,2.3,195.55,2025-07,Sunday,36-45
101526,2024-08-21,South,Beauty,In-Store,Net Banking,1.0,49.02,0.0,63.0,3.1,49.02,2024-08,Wednesday,56-70
100377,2025-06-29,South,Beauty,In-Store,Cash,6.0,25.44,0.0,69.0,3.1,152.64,2025-06,Sunday,56-70
101366,2024-08-08,South,Clothing,Online,Net Banking,3.0,17.07,25.0,59.0,4.8,38.41,2024-08,Thursday,56-70
100847,2024-02-07,Central,Beauty,Online,Debit Card,5.0,17.34,20.0,27.0,2.5,69.36,2024-02,Wednesday,26-35
101470,2025-10-18,East,Sports,Online,Cash,3.0,78.94,0.0,24.0,3.3,236.82,2025-10,Saturday,18-25
101189,2024-01-06,East,Beauty,In-Store,Upi,1.0,26.33,20.0,49.0,1.3,21.06,2024-01,Saturday,46-55
102763,2024-01-27,West,Clothing,In-Store,Cash,10.0,29.59,0.0,64.0,3.1,295.9,2024-01,Saturday,56-70
101225,2025-12-09,West,Books,Online,Cash,2.0,15.38,25.0,26.0,1.7,23.07,2025-12,Tuesday,26-35
101514,2024-06-29,South,Home & Kitchen,In-Store,Credit Card,10.0,96.26,0.0,59.0,2.8,962.6,2024-06,Saturday,56-70
102331,2025-09-21,West,Books,Online,Net Banking,8.0,20.55,0.0,56.0,4.8,164.4,2025-09,Sunday,56-70
101098,2024-01-31,Central,Sports,Online,Upi,8.0,46.27,10.0,28.0,3.4,333.14,2024-01,Wednesday,26-35
102578,2025-12-09,North,Beauty,Online,Upi,2.0,14.68,0.0,44.0,2.3,29.36,2025-12,Tuesday,36-45
100637,2024-08-05,West,Sports,In-Store,Cash,3.0,63.26,0.0,24.0,1.6,189.78,2024-08,Monday,18-25
100807,2024-03-21,East,Beauty,In-Store,Upi,6.0,32.05,20.0,43.0,4.1,153.84,2024-03,Thursday,36-45
102979,2024-12-13,Central,Home & Kitchen,Online,Cash,8.0,109.24,15.0,67.0,2.8,742.83,2024-12,Friday,56-70
100836,2025-08-13,Central,Sports,Online,Cash,9.0,83.57,25.0,22.0,1.1,564.1,2025-08,Wednesday,18-25
102071,2025-04-18,North,Books,Online,Net Banking,3.0,8.39,25.0,30.0,4.4,18.88,2025-04,Friday,26-35
101292,2024-11-20,West,Electronics,In-Store,Upi,6.0,258.635,0.0,41.0,2.7,1551.81,2024-11,Wednesday,36-45
101213,2025-09-25,North,Electronics,Online,Upi,9.0,247.45,0.0,44.0,2.1,2227.05,2025-09,Thursday,36-45
100275,2024-12-18,East,Books,In-Store,Cash,10.0,17.05,10.0,37.0,3.1,153.45,2024-12,Wednesday,36-45
101915,2025-01-13,South,Sports,In-Store,Credit Card,1.0,50.38,0.0,57.0,4.4,50.38,2025-01,Monday,56-70
100592,2024-06-24,East,Beauty,Online,Cash,9.0,39.64,0.0,66.0,4.8,356.76,2024-06,Monday,56-70
100121,2025-05-03,East,Beauty,Online,Net Banking,4.0,36.91,0.0,43.0,1.4,147.64,2025-05,Saturday,36-45
102485,2024-09-20,North,Books,In-Store,Debit Card,11.0,9.69,0.0,44.0,3.3,106.59,2024-09,Friday,36-45
102528,2024-03-04,East,Books,In-Store,Net Banking,2.0,22.99,0.0,25.0,3.5,45.98,2024-03,Monday,18-25
101784,2025-06-15,North,Books,Online,Credit Card,9.0,21.15,5.0,57.0,4.5,180.83,2025-06,Sunday,56-70
100485,2024-06-19,Central,Books,In-Store,Credit Card,6.0,18.03,25.0,18.0,2.1,81.14,2024-06,Wednesday,18-25
102470,2025-10-14,Central,Home & Kitchen,Online,Cash,10.0,73.62,15.0,31.0,3.0,625.77,2025-10,Tuesday,26-35
102849,2024-09-21,North,Sports,In-Store,Cash,3.0,41.24,0.0,65.0,4.5,123.72,2024-09,Saturday,56-70
100769,2024-10-02,Central,Beauty,Online,Upi,10.0,21.88,25.0,38.0,2.9,164.1,2024-10,Wednesday,36-45
102555,2024-03-16,Central,Sports,Online,Upi,4.0,120.23,25.0,54.0,1.4,360.69,2024-03,Saturday,46-55
101389,2025-10-26,North,Beauty,Online,Upi,8.0,12.73,0.0,44.0,4.1,101.84,2025-10,Sunday,36-45
102159,2024-09-01,North,Books,Online,Cash,7.0,24.42,0.0,28.0,1.7,170.94,2024-09,Sunday,26-35
101352,2024-12-28,West,Clothing,In-Store,Credit Card,9.0,43.97,0.0,64.0,4.4,395.73,2024-12,Saturday,56-70
100997,2024-09-20,North,Home & Kitchen,Online,Net Banking,6.0,54.84,0.0,59.0,2.5,329.04,2024-09,Friday,56-70
101040,2025-05-31,East,Sports,In-Store,Net Banking,7.0,60.99,20.0,19.0,4.9,341.54,2025-05,Saturday,18-25
102296,2024-05-02,West,Beauty,In-Store,Upi,4.0,46.77,25.0,41.0,3.2,140.31,2024-05,Thursday,36-45
101385,2024-06-20,South,Electronics,In-Store,Cash,8.0,258.635,5.0,24.0,4.9,1965.63,2024-06,Thursday,18-25
100412,2024-07-23,Central,Books,Online,Net Banking,7.0,16.95,25.0,53.0,2.3,88.99,2024-07,Tuesday,46-55
100523,2025-08-25,South,Sports,Online,Credit Card,8.0,59.96,0.0,52.0,1.2,479.68,2025-08,Monday,46-55
101192,2024-05-04,Central,Electronics,Online,Debit Card,4.0,228.38,5.0,66.0,1.7,867.84,2024-05,Saturday,56-70
101102,2025-11-02,East,Beauty,Online,Debit Card,1.0,33.59,5.0,60.0,4.5,31.91,2025-11,Sunday,56-70
102234,2025-03-06,North,Electronics,In-Store,Credit Card,4.0,189.04,10.0,49.0,4.6,680.54,2025-03,Thursday,46-55
100662,2024-01-26,South,Electronics,Online,Upi,6.0,193.29,0.0,21.0,2.8,1159.74,2024-01,Friday,18-25
100095,2024-07-29,West,Clothing,Online,Upi,5.0,42.72,5.0,19.0,2.8,202.92,2024-07,Monday,18-25
101358,2024-03-16,West,Beauty,Online,Credit Card,10.0,31.41,0.0,44.0,1.1,314.1,2024-03,Saturday,36-45
101396,2025-03-29,Central,Books,Online,Credit Card,6.0,29.05,10.0,44.0,2.0,156.87,2025-03,Saturday,36-45
102805,2025-12-09,North,Electronics,Online,Upi,6.0,240.49,25.0,51.0,2.3,1082.2,2025-12,Tuesday,46-55
100468,2024-05-12,East,Beauty,In-Store,Cash,6.0,22.48,5.0,19.0,3.7,128.14,2024-05,Sunday,18-25
102050,2024-05-05,Central,Beauty,Online,Credit Card,1.0,33.62,0.0,44.0,4.3,33.62,2024-05,Sunday,36-45
100358,2024-03-07,South,Books,Online,Debit Card,6.0,21.32,0.0,39.0,5.0,127.92,2024-03,Thursday,36-45
101318,2024-11-24,East,Electronics,Online,Credit Card,4.0,178.43,25.0,29.0,3.6,535.29,2024-11,Sunday,26-35
102372,2024-02-14,North,Books,Online,Cash,11.0,4.94,25.0,68.0,1.6,40.76,2024-02,Wednesday,56-70
101778,2024-08-12,South,Clothing,Online,Credit Card,5.0,34.77,0.0,43.0,1.2,173.85,2024-08,Monday,36-45
100125,2025-02-17,West,Clothing,Online,Upi,9.0,53.26,0.0,51.0,4.7,479.34,2025-02,Monday,46-55
101235,2024-09-10,East,Books,In-Store,Credit Card,4.0,14.4,0.0,65.0,1.6,57.6,2024-09,Tuesday,56-70
102156,2024-11-19,North,Clothing,In-Store,Credit Card,1.0,31.36,15.0,44.0,4.5,26.66,2024-11,Tuesday,36-45
102750,2024-06-28,South,Electronics,In-Store,Net Banking,6.0,258.635,15.0,67.0,1.7,1319.04,2024-06,Friday,56-70
101578,2024-03-23,East,Sports,Online,Cash,2.0,18.95,5.0,29.0,2.8,36.0,2024-03,Saturday,26-35
102215,2024-10-12,Central,Sports,Online,Net Banking,5.0,57.31,0.0,32.0,4.7,286.55,2024-10,Saturday,26-35
102713,2025-01-15,North,Sports,In-Store,Upi,3.0,89.59,5.0,38.0,2.4,255.33,2025-01,Wednesday,36-45
101958,2025-04-27,North,Sports,Online,Cash,9.0,45.05,20.0,53.0,4.5,324.36,2025-04,Sunday,46-55
100314,2024-06-27,Central,Electronics,In-Store,Credit Card,2.0,258.635,0.0,63.0,2.9,517.27,2024-06,Thursday,56-70
102516,2025-05-20,South,Home & Kitchen,In-Store,Upi,4.0,95.04,0.0,27.0,3.1,380.16,2025-05,Tuesday,26-35
