OrderID,OrderDate,Region,Category,SalesChannel,PaymentMode,Quantity,UnitPrice,DiscountPercent,CustomerAge,CustomerRating,TotalSales
102901,2025-08-08,West,Home & Kitchen,In-Store,UPI,10.0,62.65,20.0,29.0,3.0,501.2
101422,2025-03-06,  north ,Beauty,Online,UPI,10.0,56.94,0.0,22.0,4.7,569.4
102731,2025-01-16,North,Clothing,Online,Debit Card,7.0,41.88,0.0,45.0,2.3,293.16
100603,2024-04-08,Central,Clothing,Online,Debit Card,3.0,40.18,20.0,32.0,1.9,96.43
100562,2024-12-26,  east ,SPORTS,Online,Debit Card,9.0,67.04,0.0,51.0,3.4,603.36
102265,2024-03-10,West,Home & Kitchen,In-Store,UPI,3.0,146.29,15.0,50.0,4.9,373.04
101673,08-07-2025,Central,Books,Online,Credit Card,3.0,17.45,0.0,20.0,3.6,52.35
102065,2025-01-07,  west ,Sports,Online,Cash,1.0,53.58,0.0,36.0,2.9,53.58
100732,2025-11-04,North,Sports,In-Store,Debit Card,3.0,42.96,5.0,20.0,3.3,122.44
100727,2024-03-05,  north ,Books,Online,UPI,,14.74,0.0,61.0,3.3,44.22
100770,2025-04-21,West,Electronics,Online,Cash,10.0,243.92,0.0,53.0,3.6,2439.2
102202,2024-01-29,East,Home & Kitchen,Online,Cash,11.0,118.78,20.0,28.0,3.5,1045.26
100561,02/01/2024,South,Clothing,Online,Net Banking,6.0,36.9,15.0,22.0,2.2,188.19
102162,2024-10-21,Central,Sports,Online,Net Banking,11.0,72.18,25.0,53.0,3.9,595.48
100414,01/14/2024,North,SPORTS,Online,Net Banking,9.0,49.38,5.0,30.0,1.4,422.2
102817,2025-09-25,West,Clothing,In-Store,Cash,5.0,51.86,5.0,18.0,1.1,246.34
100640,2025-05-05,Central,Home & Kitchen,Online,Credit Card,11.0,70.37,0.0,22.0,4.3,774.07
101900,25-01-2025,,Electronics,Online,Net Banking,4.0,355.42,25.0,27.0,3.7,1066.26
102082,2024-08-25,South,Sports,Online,Debit Card,8.0,59.84,20.0,49.0,3.0,382.98
102985,2025-04-18,South,Beauty,In-Store,Net Banking,10.0,31.98,25.0,41.0,1.6,239.85
102424,11-09-2024,  north ,Clothing,Online,Net Banking,11.0,37.79,10.0,,1.6,374.12
100587,2024-03-13,  south ,Beauty,In-Store,Credit Card,11.0,19.99,0.0,20.0,3.2,219.89
102248,2024-04-23,South,Beauty,Online,Debit Card,1.0,28.02,10.0,44.0,1.4,25.22
102037,2024-01-30,East,Electronics,Online,Debit Card,3.0,288.52,15.0,46.0,1.6,735.73
100180,2025-11-16,  west ,BEAUTY,Online,Net Banking,7.0,25.15,15.0,55.0,3.4,149.64
102827,2025-11-20,West,Clothing,In-Store,UPI,3.0,51.11,0.0,22.0,3.8,153.33
101617,05-01-2025,West,CLOTHING,In-Store,UPI,1.0,23.29,0.0,46.0,3.5,23.29
101455,2024-02-17,South,Electronics,Online,Debit Card,8.0,422.71,0.0,66.0,2.2,3381.68
102825,2025-09-07,East,Sports,In-Store,Credit Card,11.0,70.07,0.0,25.0,4.5,770.77
